Key	Value类型
现病史.时间1.发生时间	字符串_S
现病史.时间1.病因与诱因	字符串_M
现病史.时间1.主要症状.症状术语	字符串_S
现病史.时间1.主要症状.性质程度	字符串_M
现病史.时间1.主要症状.加剧因素	字符串_M
现病史.时间1.主要症状.缓解因素	字符串_M
现病史.时间1.伴随症状1.症状术语	字符串_S
现病史.时间1.伴随症状1.特点	字符串_M
现病史.时间1.伴随症状2.症状术语	字符串_S
现病史.时间1.伴随症状2.特点	字符串_M
现病史.时间1.阴性症状	字符串_M
现病史.时间1.诊治经过.医疗机构名称	字符串_M
现病史.时间1.诊治经过.检查检验项目及结果	字符串_M
现病史.时间1.诊治经过.初步诊断	字符串_M
现病史.时间1.诊治经过.药物1.药物名称	字符串_S
现病史.时间1.诊治经过.药物1.用法用量	字符串_M
现病史.时间1.诊治经过.药物2.药物名称	字符串_S
现病史.时间1.诊治经过.药物2.用法用量	字符串_M
现病史.时间1.诊治经过.其他治疗措施	字符串_M
现病史.时间1.诊治经过.病情转归	字符串_M
现病史.时间2.发生时间	字符串_S
现病史.时间2.病因与诱因	字符串_M
现病史.时间2.主要症状.症状术语	字符串_S
现病史.时间2.主要症状.性质程度	字符串_M
现病史.时间2.主要症状.加剧因素	字符串_M
现病史.时间2.主要症状.缓解因素	字符串_M
现病史.时间2.伴随症状1.症状术语	字符串_S
现病史.时间2.伴随症状1.特点	字符串_M
现病史.时间2.伴随症状2.症状术语	字符串_S
现病史.时间2.伴随症状2.特点	字符串_M
现病史.时间2.阴性症状	字符串_M
现病史.时间2.诊治经过.医疗机构名称	字符串_M
现病史.时间2.诊治经过.检查检验项目及结果	字符串_M
现病史.时间2.诊治经过.初步诊断	字符串_M
现病史.时间2.诊治经过.药物1.药物名称	字符串_S
现病史.时间2.诊治经过.药物1.用法用量	字符串_M
现病史.时间2.诊治经过.药物2.药物名称	字符串_S
现病史.时间2.诊治经过.药物2.用法用量	字符串_M
现病史.时间2.诊治经过.其他治疗措施	字符串_M
现病史.时间2.诊治经过.病情转归	字符串_M
现病史.就诊目的	字符串_M
现病史.一般情况.精神	字符串_M
现病史.一般情况.睡眠	字符串_M
现病史.一般情况.饮食	字符串_M
现病史.一般情况.大小便	字符串_M
现病史.一般情况.体重变化	字符串_M
既往史.疾病史1.患病时间	字符串_S
既往史.疾病史1.疾病名称	字符串_S
既往史.疾病史1.药物1.药物名称	字符串_S
既往史.疾病史1.药物1.用法用量	字符串_M
既往史.疾病史1.药物2.药物名称	字符串_S
既往史.疾病史1.药物2.用法用量	字符串_M
既往史.疾病史1.其他治疗措施	字符串_M
既往史.疾病史1.病情转归	字符串_M
既往史.疾病史2.患病时间	字符串_S
既往史.疾病史2.疾病名称	字符串_S
既往史.疾病史2.药物1.药物名称	字符串_S
既往史.疾病史2.药物1.用法用量	字符串_M
既往史.疾病史2.药物2.药物名称	字符串_S
既往史.疾病史2.药物2.用法用量	字符串_M
既往史.疾病史2.其他治疗措施	字符串_M
既往史.疾病史2.病情转归	字符串_M
既往史.其他信息	字符串_M
既往史.疾病手术1.患病时间	字符串_S
既往史.疾病手术1.疾病名称	字符串_S
既往史.疾病手术1.医疗机构名称	字符串_S
既往史.疾病手术1.手术名称	字符串_M
既往史.疾病手术1.病情转归	字符串_M
既往史.疾病手术2.患病时间	字符串_S
既往史.疾病手术2.疾病名称	字符串_S
既往史.疾病手术2.医疗机构名称	字符串_S
既往史.疾病手术2.手术名称	字符串_M
既往史.疾病手术2.病情转归	字符串_M
既往史.外伤（手术）1.患病时间	字符串_S
既往史.外伤（手术）1.创伤因素	字符串_M
既往史.外伤（手术）1.疾病名称	字符串_M
既往史.外伤（手术）1.医疗机构名称	字符串_S
既往史.外伤（手术）1.手术名称	字符串_M
既往史.外伤（手术）1.其他治疗措施	字符串_M
既往史.外伤（手术）1.病情转归	字符串_M
既往史.外伤（手术）2.患病时间	字符串_S
既往史.外伤（手术）2.创伤因素	字符串_M
既往史.外伤（手术）2.疾病名称	字符串_M
既往史.外伤（手术）2.医疗机构名称	字符串_S
既往史.外伤（手术）2.手术名称	字符串_M
既往史.外伤（手术）2.其他治疗措施	字符串_M
既往史.外伤（手术）2.病情转归	字符串_M
既往史.食物过敏	字符串_M
既往史.药物过敏	字符串_M
既往史.输血史	字符串_M
婚育史月经史.婚姻状态	字符串_M
婚育史月经史.月经	字符串_M
婚育史月经史.生育	字符串_M
个人史.吸烟	字符串_M
个人史.饮酒	字符串_M
个人史.职业接触	字符串_M
家族史.传染病	字符串_M
家族史.遗传性疾病	字符串_M
体格检查.身高	字符串_S
体格检查.体重	字符串_S
体格检查.专科查体	字符串_M
辅助检查.检查检验项目1.报告时间	字符串_S
辅助检查.检查检验项目1.医疗机构名称	字符串_S
辅助检查.检查检验项目1.检查检验项目及结果	字符串_M
辅助检查.检查检验项目2.报告时间	字符串_S
辅助检查.检查检验项目2.医疗机构名称	字符串_S
辅助检查.检查检验项目2.检查检验项目及结果	字符串_M
初步诊断.疾病名称1	字符串_S
初步诊断.疾病名称2	字符串_S
处理意见.检查项目名称	字符串_M
处理意见.药物1.药物名称	字符串_S
处理意见.药物1.用法用量	字符串_M
处理意见.药物2.药物名称	字符串_S
处理意见.药物2.用法用量	字符串_M
处理意见.其他建议	字符串_M
处理意见.复诊时间	字符串_M
